Источники видео (Pexels, свободная лицензия):
barbados.mp4 — Pexels, автор Israel Elizondo fotografía — https://www.pexels.com/video/stunning-caribbean-beach-aerial-view-28718911/
zanzibar.mp4 — Pexels, автор Chloe Canning — https://www.pexels.com/video/serene-ocean-waves-on-a-rocky-beach-35864315/
seychelles.mp4 — Pexels, автор KELLY LEONARD — https://www.pexels.com/video/aerial-beach-view-with-turquoise-water-32243072/
paris.mp4 — Pexels, автор Travel with  Lenses — https://www.pexels.com/video/aerial-view-of-paris-with-eiffel-tower-32495414/
london.mp4 — Pexels, автор Tatianaa Co — https://www.pexels.com/video/iconic-london-bus-on-westminster-street-35585146/
lisbon.mp4 — Pexels, автор Alexandre Henry Alves — https://www.pexels.com/video/aerial-view-of-lisbon-s-historic-rooftops-35872536/
hong-kong.mp4 — Pexels, автор Vera — https://www.pexels.com/video/hong-kong-skyline-at-night-with-vibrant-lights-31946278/
rome.mp4 — Pexels, автор Nihal Backer K K — https://www.pexels.com/video/the-colosseum-in-rome-italy-28168927/
gyros.jpg — Pexels (фото), автор Alena Shekhovtcova — https://www.pexels.com/photo/gyro-with-pita-and-french-fries-with-vegetables-and-herbs-6941000/
popcorn.mp4 — Pexels, автор Tima Miroshnichenko — https://www.pexels.com/video/people-getting-popcorn-in-a-bucket-5683874/
cotton-candy.mp4 — Pexels, автор Tima Miroshnichenko — https://www.pexels.com/video/video-of-a-sweet-rolling-candy-7034344/
pizza-slice.mp4 — Pexels, автор Evgenij Mikhailov — https://www.pexels.com/video/delicious-cheese-pizza-with-olives-and-pepperoni-34145268/
bagel.mp4 — Pexels, автор Anton Uniqueton — https://www.pexels.com/video/a-bagel-sandwich-7037280/
ribs.mp4 — Pexels, автор Nadin Sh — https://www.pexels.com/video/delicious-glazed-barbecue-ribs-on-plate-35517092/
miso-soup.mp4 — Pexels, автор Ali  Alcántara — https://www.pexels.com/video/traditional-japanese-ramen-bowl-close-up-31387619/
pear.mp4 — Pexels, автор Polina ⠀ — https://www.pexels.com/video/video-of-a-yellow-fruit-7250043/
kiwi.mp4 — Pexels, автор Mikhail Nilov — https://www.pexels.com/video/slices-of-kiwi-fruit-7677577/
barbecue-wings.mp4 — Pexels, автор Bon appétit — https://www.pexels.com/video/close-up-of-sauce-being-poured-on-fried-chicken-31707113/
burger.mp4 — Pexels, автор Ozan Çelik — https://www.pexels.com/video/chef-prepares-juicy-cheeseburger-on-grill-34697259/
grilled-vegetables.mp4 — Pexels, автор Bogdan Krupin — https://www.pexels.com/video/colorful-vegetables-grilling-on-bbq-32239462/
spring-rolls.mp4 — Pexels, автор Evgenij Mikhailov — https://www.pexels.com/video/crispy-fried-chicken-with-red-onion-garnish-34174960/
matcha.mp4 — Pexels, автор Peggy Anke — https://www.pexels.com/video/latte-art-on-a-matcha-drink-5010781/
